Moving plate,Fixed plate,Moving plate ID,Age (GTS2020),Latitude,Longitude,Angle,Fixed Plate ID,Abbreviation,Chron according to time scale used in paper,Reference,Chron in paper,Age in paper,Comments,,,,,
North America ,Northwest Africa,101,0,0,0,0,714,!NAM-NWA,,,,,,,,,,
North America ,Northwest Africa,101,0.773,78.98,30.83,0.18,714,!NAM-NWA,C1n o,DeMets et al. (2015),1n,0.781,,,,,,
North America ,Northwest Africa,101,1.775,79.08,33.75,0.41,714,!NAM-NWA,C2n y,DeMets et al. (2015),2n,1.778,,,,,,
North America ,Northwest Africa,101,2.595,79.18,36.04,0.58,714,!NAM-NWA,C2An.1n y,DeMets et al. (2015),2An.1,2.581,,,,,,
North America ,Northwest Africa,101,3.596,79.34,39.09,0.82,714,!NAM-NWA,C2An.3n o,DeMets et al. (2015),2An.3,3.596,,,,,,
North America ,Northwest Africa,101,4.187,79.44,40.65,0.95,714,!NAM-NWA,C3n.1n y,DeMets et al. (2015),3n.1,4.187,,,,,,
North America ,Northwest Africa,101,5.235,79.64,43.15,1.19,714,!NAM-NWA,C3n.4n o,DeMets et al. (2015),3n.4,5.235,,,,,,
North America ,Northwest Africa,101,6.023,79.80,44.95,1.37,714,!NAM-NWA,C3An.1n y,DeMets et al. (2015),3An.1,6.033,,,,,,
North America ,Northwest Africa,101,6.727,79.94,46.53,1.53,714,!NAM-NWA,C3An.2n o,DeMets et al. (2015),3An.2,6.733,,,,,,
North America ,Northwest Africa,101,7.537,80.08,48.36,1.74,714,!NAM-NWA,C4n.1n y,DeMets et al. (2015),4n.1,7.528,,,,,,
North America ,Northwest Africa,101,8.125,80.17,49.71,1.89,714,!NAM-NWA,C4n.2n o,DeMets et al. (2015),4n.2,8.108,,,,,,
North America ,Northwest Africa,101,9.105,80.29,51.91,2.16,714,!NAM-NWA,C4An o,DeMets et al. (2015),4A,9.105,,,,,,
North America ,Northwest Africa,101,9.786,80.35,53.43,2.34,714,!NAM-NWA,C5n.1n y,DeMets et al. (2015),5n.1,9.786,,,,,,
