ID,Geologic Area,Name,Rock type,AgeUpBound,AgeLowBound,nSample,Nsites,Dec,Inc,a95,k,A95_VGP,K_VGP,Slat,Slon,Plat,Plon,Lambda,Ref,DOI,Comments
,Scotland,"Mauchline lavas, Scotland",igneous,293.0,279.0,75,5,191.6,-24.1,18.2,18.5,,,55.5,-4.6,-46.2,348.0,,Harcombe-Smee et al. (1996),10.1016/0031-9201(95)03083-2,"Taken from Bram (2023) paper, already corrected for tectonic folding. Paper is originally on palaeointensity as well."
,England,"SW England, Aylesbeare Mudstone",sedimentary,264.3,254.2,153,13,13.7,45.6,3.4,22.0,3.4,22.4,50.6,-3.4,-65.6,325.9,,Hounslow et al. (2017),https://doi.org/10.1144/jgs2015-141,"Taken from Bram (2023) paper, already corrected for tectonic folding. Paper on Kiaman superchron, in paper the number of sites is quoted as 13 with 153 samples but Bram claims it’s 81? Paper then says that it did demagnetised 250 samples?"
,England,"Hadrian's Wall–Pennines Sill and Hett Dike (Whin Sill), UK",igneous,296.0,292.0,,47,9.2,3.3,3.5,35.0,2.5,70.2,54.8,-2.5,-32.9,347.1,,Liss et al. (2004), https://doi.org/10.1144/0016-764903-156,"Taken from Bram (2023) paper, already corrected for tectonic folding. Paper says the total number of samples but doesn't split them up by site so nSamples canot be found."
,England,"Holy Island Sill and Dyke (Whin Sill), UK",igneous,296.0,292.0,,20,9.5,2.8,6.3,27.6,5.5,36.2,55.7,-1.8,-35.4,346.8,,Liss et al. (2004), https://doi.org/10.1144/0016-764903-156,"Taken from Bram (2023) paper, already corrected for tectonic folding. Paper says the total number of samples but doesn't split them up by site so nSamples canot be found."
,Scotland,"Peterhead dyke, Scotland",igneous,309.0,285.0,64,1,192.5,-19.1,1.3,184.0,,,57.5,-1.8,-41.3,341.8,,Torsvik (1985),10.1016/0031-9201(85)90077-9,"Taken from Bram (2023) paper, already corrected for tectonic folding. Bram paper has the inclination as positive but paper has it as negative, taken results from the paper directly. "
,England,"Great Whin Sill, UK",igneous,296.0,292.0,,5,13.9,21.7,4.8,259.0,,,55.5,-1.7,-44.4,339.1,,Storetvedt and Gidskehaug (1969),10.1016/0031-9201(69)90006-5,"Taken from Bram (2023) paper, already corrected for tectonic folding. Can't access original article as behind paywall"
,England,"Alnwick Sill, High Green and St. Oswalds Chapel Dyke (Whin Sill), UK",igneous,296.0,292.0,,17,14.6,25.6,8.1,20.5,7.7,47.1,55.4,-1.6,-47.1,337.1,,Liss et al. (2004), https://doi.org/10.1144/0016-764903-156,"Taken from Bram (2023) paper, already corrected for tectonic folding. Paper says the total number of samples but doesn't split them up by site so nSamples canot be found."
,Scotland,"Kinghorn and Burntisland Lavas, Eastern Midland Valley",igneous,358.0,318.0,13,1,205.0,-31.0,7.0,30.8,,,56.2,-3.1,,,,Torsvik (1988),https://doi.org/10.1016/0031-9201(89)90236-6,"Found with GPMDB, included despite low sample size as part of a wider study that finds agreement with rest of study, by looking at baked contacts of material intruded by dyke."
,Scotland,"Permo-Carboniferous dykes, Western Midland Valley",igneous,305.0,295.0,5,1,190.0,-22.0,6.8,85.0,,,54.8,-5.0,,,,Torsvik (1988),https://doi.org/10.1016/0031-9201(89)90236-7,"Found with GPMDB, included despite low sample size as part of a wider study that finds agreement with rest of study, by looking at baked contacts of material intruded by dyke."
,England,"Upper Triassic, Mercia Mudstone, Somerset",sedimentary,227.0,208.0,27,4,30.8,34.3,5.1,31.0,,,51.2,-3.3,,,,"Briden and Daniels, (1999)", https://doi.org/10.1144/gsjgs.156.2.0317,"Found with GPMDB, included but quite suspect. Large variance in dec/inc measurements between sites, possibly inclination shallowing or poor lab measurement."
,England,"Lower-Middle Triassic, Sherwood Sandstone, Devon",sedimentary,251.0,242.0,138,2,23.0,34.0,3.5,12.8,,,51.1,-3.4,-52.8,318.8,,"Hounslow and McIntosh, 2002",https://doi.org/10.1016/S0031-0182(03)00235-9,"Found with GPMDB, not sure why left out of Bram (2023), results seem sensible using ChRM"
