tab delimited	contribution
data_model_version	description
3.0	Downloaded from MagIC at 2026-02-05T15:23:58.389Z.
>>>>>>>>>>
tab delimited	locations
location	location_type	location_alternatives	result_name	result_type	method_codes	citations	expedition_name	expedition_ship	geologic_classes	lithologies	plate_blocks	terranes	geological_province_sections	tectonic_settings	lat_s	lat_n	lon_w	lon_e	elevation_low	elevation_high	continent_ocean	country	state_province	ocean_sea	region	village_city	age	age_sigma	age_low	age_high	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_k	dir_k_ratio	dir_polarity	dir_n_sites	dir_n_samples	fold_test_significance	fold_test	conglomerate_test	contact_test	reversal_test	pole_lat	pole_lon	pole_dp	pole_dm	pole_alpha95	pole_k	pole_comp_name	pole_reversed_perc	pole_antipodal_angle	description	rock_magnetic_test	external_database_ids	analysts
Germany	Outcrop	West Eifel Volcanics	6a b	a	FS-FD : GM-KAR : LP-DC3 : LP-DIR : LT-AF-Z : SO-SM:GM-ARAR	BOHNEL ET AL. (1987)			Intrusive:Extrusive	Extrusives:Intrusives					50.06	50.3	6.55	7.05			Europe	Germany			Germany				0.1	0.4	Ma	100	62.4	73.5	3.7	102				18						54.3	57.5								Brunhes Epoch.		PSVRL[2120]	
Germany	Outcrop	West Eifel Volcanics	30 80a b	a	FS-FD : GM-KAR : LP-DC3 : LP-DIR : LT-AF-Z : SO-SM:GM-ARAR	BOHNEL ET AL. (1987)			Intrusive:Extrusive	Extrusives:Intrusives					50.06	50.3	6.55	7.05			Europe	Germany			Germany				0.1	0.4	Ma	100	349.6	61	3.6	59				27						79.1	231.7								Brunhes Epoch.		PSVRL[2121]	
Germany	Outcrop	West Eifel Volcanics	3237	a	FS-FD : GM-KAR : LP-DC3 : LP-DIR : LT-AF-Z : SO-SM:GM-ARAR	BOHNEL ET AL. (1987)			Intrusive:Extrusive	Extrusives:Intrusives					50.06	50.3	6.55	7.05			Europe	Germany			Germany				0.1	0.4	Ma	100	14.9	66.5	3.9	84				17						80.3	98.7								Brunhes Epoch.		PSVRL[2122]	
Germany	Outcrop	West Eifel Volcanics	4143	a	FS-FD : GM-KAR : LP-DC3 : LP-DIR : LT-AF-Z : SO-SM:GM-ARAR	BOHNEL ET AL. (1987)			Intrusive:Extrusive	Extrusives:Intrusives					50.06	50.3	6.55	7.05			Europe	Germany			Germany				0.1	0.4	Ma	100	91.6	71.2	1.9	224				27						38.8	52.8								Brunhes Epoch.			
Germany	Outcrop	West Eifel Volcanics	6162	a	FS-FD : GM-KAR : LP-DC3 : LP-DIR : LT-AF-Z : SO-SM:GM-ARAR	BOHNEL ET AL. (1987)			Intrusive:Extrusive	Extrusives:Intrusives					50.06	50.3	6.55	7.05			Europe	Germany			Germany				0.1	0.4	Ma	100	56.7	74.7	2.9	98				25						57.5	55								Brunhes Epoch.		PSVRL[2123]	
Germany	Outcrop	West Eifel Volcanics	99a b	a	FS-FD : GM-KAR : LP-DC3 : LP-DIR : LT-AF-Z : SO-SM:GM-ARAR	BOHNEL ET AL. (1987)			Intrusive:Extrusive	Extrusives:Intrusives					50.06	50.3	6.55	7.05			Europe	Germany			Germany				0.1	0.4	Ma	100	17.4	75.7	3.2	116				18						74.2	36.7								Brunhes Epoch.		PSVRL[2124]	
Germany	Outcrop	West Eifel Volcanics	157a b	a	FS-FD : GM-KAR : LP-DC3 : LP-DIR : LT-AF-Z : SO-SM:GM-ARAR	BOHNEL ET AL. (1987)			Intrusive:Extrusive	Extrusives:Intrusives					50.06	50.3	6.55	7.05			Europe	Germany			Germany				0.4	0.73	Ma	100	28.7	65.8	3.9	65				20						71.2	92.5								Brunhes Epoch.		PSVRL[2125]	
Germany	Outcrop	West Eifel Volcanics	159 161	a	FS-FD : GM-KAR : LP-DC3 : LP-DIR : LT-AF-Z : SO-SM:GM-ARAR	BOHNEL ET AL. (1987)			Intrusive:Extrusive	Extrusives:Intrusives					50.06	50.3	6.55	7.05			Europe	Germany			Germany				0.1	0.4	Ma	100	57.1	52.2	3.8	90				15						45.1	97.1								Brunhes Epoch.		PSVRL[2126]	
Germany	Outcrop	West Eifel Volcanics	169 170a b	a	FS-FD : GM-KAR : LP-DC3 : LP-DIR : LT-AF-Z : SO-SM:GM-ARAR	BOHNEL ET AL. (1987)			Intrusive:Extrusive	Extrusives:Intrusives					50.06	50.3	6.55	7.05			Europe	Germany			Germany				0	0.1	Ma	100	109.9	80	1.6	375				19						40.7	31.1								Brunhes Epoch.			
Germany	Outcrop	West Eifel Volcanics	204 207 a b	a	FS-FD : GM-KAR : LP-DC3 : LP-DIR : LT-AF-Z : SO-SM:GM-ARAR	BOHNEL ET AL. (1987)			Intrusive:Extrusive	Extrusives:Intrusives					50.06	50.3	6.55	7.05			Europe	Germany			Germany				0	0.33	Ma	100	5.6	66.8	1.9	135				41						86.3	107.2								Brunhes Epoch.		PSVRL[2127]	
