tab delimited	contribution
data_model_version	description
3.0	Downloaded from MagIC at 2026-03-20T15:38:28.799Z.
>>>>>>>>>>
tab delimited	locations
location	sites	location_type	location_alternatives	result_name	result_type	method_codes	citations	expedition_name	geologic_classes	lithologies	plate_blocks	terranes	geological_province_sections	tectonic_settings	lat_s	lat_n	lon_w	lon_e	elevation_low	elevation_high	continent_ocean	country	region	village_city	age	age_sigma	age_low	age_high	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_r	dir_k	dir_k_ratio	dir_polarity	dir_n_sites	dir_n_samples	fold_test_significance	fold_test	conglomerate_test	contact_test	reversal_test	pole_lat	pole_lon	pole_dp	pole_dm	pole_alpha95	pole_reversed_perc	pole_antipodal_angle	paleolat	paleolon	paleopole_n_sites	pdm	pdm_sigma	padm	padm_sigma	padm_n_sites	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_sites	description	rock_magnetic_test	criteria	external_database_ids	pis	analysts
location-0		Region					10.1029/2009TC002596		Igneous:Metamorphic	Granite:Monzonite:Mylonite					36.8171	39.4359	25.9846	29.1556									11.6	48.1	Ma																																								
609b		Core							Sedimentary	Nannofossil Ooze					49.86	49.86	24.23	24.23							0.82486				Ma																																								
664d		Core							Sedimentary	Nannofossil Ooze					0.1	0.1	23.2667	23.2667							0.80672				Ma																																								
665a		Core							Sedimentary	Nannofossil Ooze					3	3	20	20							0.81725				Ma																																								
983edited		Core							Sedimentary	Nannofossil Ooze					61.4	61.4	24.1	24.1							1.8889				Ma																																								
location-1		Outcrop					10.1130/L575.1		Igneous	Granite					37.11835	37.11835	25.18858	25.18858									5.3	16	Ma																																								
location-7		Outcrop					10.1130/L575.1		Igneous	Aplite					37.01716	37.01716	25.23922	25.23922									5.3	16	Ma																																								
location-8		Outcrop					10.1130/L575.1		Intrusive	Granite					37.03738	37.03738	25.19604	25.19604									5.3	16	Ma																																								
location-12		Outcrop					10.1130/L575.1		Intrusive	Rhyolite					37.13611	37.13611	25.20968	25.20968									5.3	16	Ma																																								
location-0		Outcrop					10.1130/L575.1		Intrusive	Granite					37.11699	37.11699	25.18168	25.18168									5.3	16	Ma																																								
location-2		Outcrop					10.1130/L575.1		Igneous	Granite					37.12557	37.12557	25.2094	25.2094									5.3	16	Ma																																								
