tab delimited	contribution
data_model_version	description
3.0	Downloaded from MagIC at 2026-01-20T10:51:37.123Z.
>>>>>>>>>>
tab delimited	sites
site	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	bed_dip	bed_dip_direction	formation	lat	lon	geographic_precision	elevation	age	age_sigma	age_low	age_high	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_k	dir_n_samples	dir_n_total_samples	vgp_lat	vgp_lon	vgp_dp	vgp_dm	vgp_alpha95	vgp_k	vdm	vdm_sigma	vdm_n_samples	vadm	vadm_sigma	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_samples	int_n_specimens	description	external_database_ids
A39/50	Turkey	i		DE-VGP : FS-H : LP-DC3 : LT-AF-Z : LT-T-Z : SO-SM:DE-BFL:GM-CC	10.1016/0031-9201(68)90038-1	Extrusive	Lava Flow	Not Specified				38.8	42.7					0	4	Ma	100	25.6	59.1	4.2				70.3	121.1															A39/50	PSVRL[859]
A57/68	Turkey	i		DE-VGP : FS-H : LP-DC3 : LT-AF-Z : LT-T-Z : SO-SM:DE-BFL:GM-CC	10.1016/0031-9201(68)90038-1	Extrusive	Lava Flow	Not Specified				38.8	42.7					0	4	Ma	100	28.7	59.8	2.8				68	118.2															A57/68	PSVRL[860]
A83/87	Turkey	i		DE-VGP : FS-H : LP-DC3 : LT-AF-Z : LT-T-Z : SO-SM:DE-BFL:GM-CC	10.1016/0031-9201(68)90038-1	Extrusive	Lava Flow	Not Specified				39.7	44.2					0	4	Ma	100	347	48.6	2.4				75.3	274.7															A83/87	PSVRL[864]
AG105/108	Turkey	i		DE-VGP : FS-H : LP-DC3 : LT-AF-Z : LT-T-Z : SO-SM:DE-BFL:GM-CC	10.1016/0031-9201(68)90038-1	Extrusive	Lava Flow	Not Specified				39.4	44.3					0	4	Ma	100	3.8	57.8	3.4				86.9	150.3															AG105/108	PSVRL[865]
AG114/118	Turkey	i		DE-VGP : FS-H : LP-DC3 : LT-AF-Z : LT-T-Z : SO-SM:DE-BFL:GM-CC	10.1016/0031-9201(68)90038-1	Extrusive	Lava Flow	Not Specified				40	48.3					0	4	Ma	100	168.8	-61.2	5.8				-81.5	123.8															AG114/118	PSVRL[867]
AG79/82	Turkey	i		DE-VGP : FS-H : LP-DC3 : LT-AF-Z : LT-T-Z : SO-SM:DE-BFL:GM-CC	10.1016/0031-9201(68)90038-1	Extrusive	Lava Flow	Not Specified				39.7	44.2					0	4	Ma	100	224.5	-43.8	4.8				-50.4	321.2															AG79/82	PSVRL[866]
B18/21	Turkey	i		DE-VGP : FS-H : LP-DC3 : LT-AF-Z : LT-T-Z : SO-SM:DE-BFL:GM-CC	10.1016/0031-9201(68)90038-1	Extrusive	Lava Flow	Not Specified				38.9	40.2					0	4	Ma	100	172.5	-53	6.2				-81.9	91.1															B18/21	
BT22/33	Turkey	i		DE-VGP : FS-H : LP-DC3 : LT-AF-Z : LT-T-Z : SO-SM:DE-BFL:GM-CC	10.1016/0031-9201(68)90038-1	Extrusive	Lava Flow	Not Specified				38.3	42					0	4	Ma	100	8.9	52	4.5				81.2	156															BT22/33	PSVRL[858]
D123/126	Turkey	i		DE-VGP : FS-H : LP-DC3 : LT-AF-Z : LT-T-Z : SO-SM:DE-BFL:GM-CC	10.1016/0031-9201(68)90038-1	Extrusive	Lava Flow	Not Specified				35.9	40.2					0	4	Ma	100	177.3	-40.3	3.9				-76.9	51.2															D123/126	PSVRL[869]
D127/130	Turkey	i		DE-VGP : FS-H : LP-DC3 : LT-AF-Z : LT-T-Z : SO-SM:DE-BFL:GM-CC	10.1016/0031-9201(68)90038-1	Extrusive	Lava Flow	Not Specified				35.9	40.2					0	4	Ma	100	202	-43.3	6.2				-68.3	333.6															D127/130	PSVRL[870]
D131/135	Turkey	i		DE-VGP : FS-H : LP-DC3 : LT-AF-Z : LT-T-Z : SO-SM:DE-BFL:GM-CC	10.1016/0031-9201(68)90038-1	Extrusive	Lava Flow	Not Specified				35.9	40.2					0	4	Ma	100	9.2	54.4	3.2				82.4	134.9															D131/135	PSVRL[872]
