tab delimited	contribution
data_model_version	description
3.0	Downloaded from MagIC at 2026-01-20T10:59:44.746Z.
>>>>>>>>>>
tab delimited	locations
location	sites	location_type	location_alternatives	result_name	result_type	method_codes	citations	geologic_classes	lithologies	plate_blocks	terranes	geological_province_sections	lat_s	lat_n	lon_w	lon_e	continent_ocean	country	state_province	region	village_city	age	age_low	age_high	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_k	dir_k_ratio	dir_polarity	dir_n_sites	dir_n_samples	fold_test_significance	fold_test	conglomerate_test	contact_test	reversal_test	pole_lat	pole_lon	pole_dp	pole_dm	pole_alpha95	pole_k	pole_n_sites	pole_reversed_perc	pole_antipodal_angle	description	rock_magnetic_test	external_database_ids	pis
Turkey		Outcrop	Anatolia Volcanics	Anatolia Volcanics : 3009	a	DE-VGP : FS-H : LP-DC3 : LT-AF-Z : LT-T-Z : SO-SM:GM-CC	10.1016/0031-9201(68)90038-1	Extrusive	Extrusives			Anatolia Volcanics	35.9	40	28.7	48.3	Middle-East	Turkey		Turkey			0	4	Ma	0	357.4	54.4	5.8				26	160		ND	ND	ND	Rc	86.6	162.3	19.5	7				27	174.4	Brunhes Matuyama Epochs mainly sampled. AF to 34mT thermal to 564C. OP (TM Cl. 1-5 oxid. )  Js-T (CT 135-600C)  SUSC. N- Brunhes Epoch (GJ 10. 009) ; R- Matuyama Epoch (GJ 10. 010).	M	GPMDB[3009]	
Turkey		Outcrop	Anatolia Volcanics	Anatolia Volcanics : 3009	a	DE-VGP : FS-H : LP-DC3 : LT-AF-Z : LT-T-Z : SO-SM:GM-CC	10.1016/0031-9201(68)90038-1	Extrusive	Extrusives			Anatolia Volcanics	35.9	40	28.7	48.3	Middle-East	Turkey		Turkey			0	4	Ma	0	6.6	56	5.5				16			ND	ND	ND	Rc	86.6	162.3	19.5	7				27	174.4	Brunhes Matuyama Epochs mainly sampled. AF to 34mT thermal to 564C. OP (TM Cl. 1-5 oxid. )  Js-T (CT 135-600C)  SUSC. N- Brunhes Epoch (GJ 10. 009) ; R- Matuyama Epoch (GJ 10. 010).	M	GPMDB[3009]	
Turkey		Outcrop	Anatolia Volcanics	Anatolia Volcanics : 3009	a	DE-VGP : FS-H : LP-DC3 : LT-AF-Z : LT-T-Z : SO-SM:GM-CC	10.1016/0031-9201(68)90038-1	Extrusive	Extrusives			Anatolia Volcanics	35.9	40	28.7	48.3	Middle-East	Turkey		Turkey			0	4	Ma	0	195.3	-53.5	13.8			r	6			ND	ND	ND	Rc	86.6	162.3	19.5	7				27	174.4	Brunhes Matuyama Epochs mainly sampled. AF to 34mT thermal to 564C. OP (TM Cl. 1-5 oxid. )  Js-T (CT 135-600C)  SUSC. N- Brunhes Epoch (GJ 10. 009) ; R- Matuyama Epoch (GJ 10. 010).	M	GPMDB[3009]	
Turkey		Region					SARIBUDAK & TARLING (1993)						38.26	38.27	43.13	43.5	Europe																																Dilkaya fireplace & burnt walls.			
Turkey		Region					10.1111/J.1475-4754.1967.TB00609.X						37.8	37.8	32.5	32.5	Europe																																�atal H�y�k.			
Asmara Red Sandstones		Outcrop		3482	i	DE-VGP : LT-AF-Z:LP-DC3	10.1016/0040-1951(64)90019-8	Sedimentary	Redbeds			Asmara Red Sandstones	41.6	41.6	32.5	32.5	Middle-East	Turkey		Turkey			251	299	Ma	100	292	-14.8					3	16		ND	ND	ND	ND	11	281.5	18	18				100		Extent 15 km. AF cleaning at 95mT.	ND		
Eocene Dykes		Outcrop		33	i	DE-VGP : LT-AF-Z:LP-DC3	10.1111/J.1365-246X.1979.TB02565.X	Intrusive	dykes				40.5	40.5	37.7	37.7	Middle-East	Turkey		Turkey			34	56	Ma	0	50.3	34.4	17.7	31.4			2	8		ND	ND	ND	ND	41.7	138.6	18.8	18.8				0		Eocene intrusives. AF cleaning 20-25mT maximum grouping. Js-T (CT 580C)  X-Ray (MAGN)  Electron microprobe.	M		
Mesudiye Formation tuffs		Outcrop		34	i	DE-VGP : LT-AF-Z:LP-DC3	10.1111/J.1365-246X.1979.TB02565.X	Extrusive	agglomerates:Tuff			Mesudiye formation tuffs	40.5	40.5	37.7	37.7	Middle-East	Turkey		Turkey			65	100	Ma	100	346.8	49.9	9.6	30.6			7	33		ND	ND	ND	ND	75.3	275.4	10.7	10.7				0		Oldest unit in region. Dips 10-15 to North. AF bulk cleaning 20-25mT  test up to 75mT. . Js-T (CT 540-580C)  X-Ray (MAGN)  Electron microprobe. .	M		
Eocene Volcanics North of N.Anatolia Fault Zone		Outcrop		7672	i	DE-DI : LT-T-Z:LP-DC3	10.1016/0040-1951(94)00241-Z	Sedimentary:Extrusive	sediments:Basalt				40.6	40.6	37.1	37.1	Middle-East	Turkey		Turkey			34	56	Ma	100	152.4	-42.5	11.3	19.2	2.87		10	54	95	F+	ND	ND	ND	62	280.8	8.6	13.9				100		North Anatolia Fault Zone. Thermal to 580C characteristic component.	ND		
Eocene Volcanics North of N.Anatolia Fault Zone		Outcrop		7672	i	DE-DI : LT-T-Z:LP-DC3	10.1016/0040-1951(94)00241-Z	Sedimentary:Extrusive	sediments:Basalt				40.6	40.6	37.1	37.1	Middle-East	Turkey		Turkey			34	56	Ma	0	147.7	-26.9	20.1	6.7			10		95	F+	ND	ND	ND	62	280.8	8.6	13.9				100		North Anatolia Fault Zone. Thermal to 580C characteristic component.	ND		
