tab delimited	contribution
data_model_version	description
3.0	Downloaded from MagIC at 2025-12-11T16:25:30.330Z.
>>>>>>>>>>
tab delimited	locations
location	sites	location_type	location_alternatives	result_name	result_type	method_codes	citations	geologic_classes	lithologies	plate_blocks	terranes	geological_province_sections	formations	lat_s	lat_n	lon_w	lon_e	elevation_low	elevation_high	continent_ocean	country	ocean_sea	region	age	age_low	age_high	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_r	dir_k	dir_k_ratio	dir_polarity	dir_n_sites	dir_n_samples	fold_test_significance	fold_test	conglomerate_test	contact_test	reversal_test	pole_lat	pole_lon	pole_dp	pole_dm	pole_alpha95	pole_k	pole_n_sites	pole_comp_name	pole_reversed_perc	pole_antipodal_angle	paleolat	paleolon	paleopole_n_sites	pdm	pdm_sigma	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_samples	description	rock_magnetic_test	external_database_ids	analysts
Victoria Australia		Outcrop		1897	i	DE-VGP : FS-H : LT-AF-Z : SO-NO:LP-DC2	10.1111/J.1365-246X.1971.TB02177.X	Extrusive	Extrusives					-38.4	-37.2	141.5	145.2			Australia	Australia		Victoria		0	5	Ma	0	3.9	-59.2	1.5		82			46	133		ND	ND	ND	Ra	86.6	266.3	1.9	1.9					46	178.2										AF cleaning usually 20mT maximum test 60mT. Supersedes previous results in RESULTNO 1818 1859. .	ND		
Victoria Australia		Outcrop		1897	i	DE-VGP : FS-H : LT-AF-Z : SO-NO:LP-DC2	10.1111/J.1365-246X.1971.TB02177.X	Extrusive	Extrusives					-38.4	-37.2	141.5	145.2			Australia	Australia		Victoria		0	5	Ma	0	3.9	-60.1	3.1		87			25			ND	ND	ND	Ra	86.6	266.3	1.9	1.9					46	178.2										AF cleaning usually 20mT maximum test 60mT. Supersedes previous results in RESULTNO 1818 1859. .	ND		
Victoria Australia		Outcrop		1897	i	DE-VGP : FS-H : LT-AF-Z : SO-NO:LP-DC2	10.1111/J.1365-246X.1971.TB02177.X	Extrusive	Extrusives					-38.4	-37.2	141.5	145.2			Australia	Australia		Victoria		0	5	Ma	0	184	58.3	3.9		68.6		r	21			ND	ND	ND	Ra	86.6	266.3	1.9	1.9					46	178.2										AF cleaning usually 20mT maximum test 60mT. Supersedes previous results in RESULTNO 1818 1859. .	ND		
Australia		Region					Sumita et al. 2001							-22.85	-22.85	117.12	117.12			Australia			Australia																																										
Group YB dykes Yilgarn Block		Outcrop		1944	i	DE-VGP : LT-AF-Z:LP-DC2	10.1016/0040-1951(76)90138-4	Intrusive	Intrusives		Yilgarn			-32	-32	116	116			Australia	Australia		Western Australia		65	245	Ma	0	164.4	-55	21.7		18.8			4	15		ND	ND	C-	Ro	19.9	102	28.1	28.1					50	163.1										Superseded study. AF minimum dispersion. Negative contact test magnetic age - see REFNO 3407. Superseded see REFNO 3407. Superseded study. Contact Test Parameters: Positive baked contact with Group YC dykes. Contact Test Significance: YES.	ND		
Group YB dykes Yilgarn Block		Outcrop		1944	i	DE-VGP : LT-AF-Z:LP-DC2	10.1016/0040-1951(76)90138-4	Intrusive	Intrusives		Yilgarn			-32	-32	116	116			Australia	Australia		Western Australia		65	245	Ma	0	357.3	60			16.9			2			ND	ND	C-	Ro	19.9	102	28.1	28.1					50	163.1										Superseded study. AF minimum dispersion. Negative contact test magnetic age - see REFNO 3407. Superseded see REFNO 3407. Superseded study. Contact Test Parameters: Positive baked contact with Group YC dykes. Contact Test Significance: YES.	ND		
Group YB dykes Yilgarn Block		Outcrop		1944	i	DE-VGP : LT-AF-Z:LP-DC2	10.1016/0040-1951(76)90138-4	Intrusive	Intrusives		Yilgarn			-32	-32	116	116			Australia	Australia		Western Australia		65	245	Ma	0	154.8	-49.1			17.2		r	2			ND	ND	C-	Ro	19.9	102	28.1	28.1					50	163.1										Superseded study. AF minimum dispersion. Negative contact test magnetic age - see REFNO 3407. Superseded see REFNO 3407. Superseded study. Contact Test Parameters: Positive baked contact with Group YC dykes. Contact Test Significance: YES.	ND		
Barrington New South Wales Australia		Region					10.1111/J.1365-246X.1969.TB03575.X							-32.033	-31.862	151.383	151.395			Australia	Australia		New South Wales																																							Barrington  R-N.			
Liverpool New South Wales Australia		Region					10.1111/J.1365-246X.1969.TB03575.X							-31.738	-31.725	150.115	150.15			Australia	Australia		New South Wales																																							Liverpool  R-N.			
Nandewar New South Wales Australia		Region					10.1111/J.1365-246X.1969.TB03575.X							-30.288	-30.278	150.065	150.15			Australia	Australia		New South Wales																																							Nandewar  N-R.			
Knapp Head Dyke		Outcrop		7588	i	DE-DI : LT-AF-Z:LP-DC4	10.1016/0012-821X(95)00013-3	Intrusive	Dolerite			Knapp Head Dyke		-35.1	-35.1	117.5	117.5			Australia	Australia		Western Australia		200	251	Ma	0	290	-71.8	5		145.7			1	7		ND	ND	ND	ND	39.4	339.1	7.7	8.8					0											AF to 100mT characteristic component.	ND		
Stirling Range Drive Dyke		Outcrop		7587	i	DE-DI : LT-AF-Z : LT-T-Z:LP-DC4	10.1016/0012-821X(95)00013-3	Intrusive	Dolerite			Stirling Range Drive Dyke		-34.4	-34.4	117.9	117.9			Australia	Australia		Western Australia		271	318	Ma	0	231.3	70.4	25		14.4			1	4		ND	ND	ND	ND	49.4	254	37.4	43.2					100											AF to 100mT + thermal to 480C.	ND		
Long Point Dyke		Outcrop		7586	i	DE-DI : LT-T-Z:LP-DC4	10.1016/0012-821X(95)00013-3	Intrusive	Dolerite			Long Point Dyke		-35	-35	116.6	116.6			Australia	Australia		Western Australia		271	318	Ma	0	318.8	81.1	12.4		38.9			1	5		ND	ND	ND	ND	21.5	284.2	23.1	24					100											Thermal to 560C high temperature component.	ND		
Perth Basin		Outcrop		1939	i	DE-VGP : LT-CHEM : LT-T-Z:LP-DC2	10.1016/0031-0182(76)90029-8	Sedimentary	sediments					-29	-29	115	115			Australia	Australia		Western Australia		16	29	Ma	0	181.2	55.5	3.4		140			14	128		ND	ND	ND	Ro	81.2	288.8	4.5	4.5					200											Lateritisation Late Oligocene to Early Miocene. Thermal cleaning 600-660C chemical test.	ND		
