tab delimited	contribution
data_model_version	description
3.0	Downloaded from MagIC at 2026-01-22T14:25:17.733Z.
>>>>>>>>>>
tab delimited	locations
location	location_type	location_alternatives	result_name	result_type	method_codes	citations	geologic_classes	lithologies	plate_blocks	terranes	geological_province_sections	tectonic_settings	formations	lat_s	lat_n	lon_w	lon_e	continent_ocean	country	state_province	region	age	age_sigma	age_low	age_high	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_r	dir_k	dir_polarity	dir_n_sites	dir_n_samples	fold_test_significance	fold_test	conglomerate_test	contact_test	reversal_test	pole_lat	pole_lon	pole_dp	pole_dm	pole_alpha95	pole_comp_name	pole_reversed_perc	pole_antipodal_angle	pole_vv_q	description	rock_magnetic_test	external_database_ids
Brazil	Region	Parana Flood Basalts				10.1029/2002GL015242								-27.075	-25.4	306.433	308.16	South America			Brazil																															
Brazil	Outcrop					10.1186/BF03352883	Igneous	Basalt						-25.22	-23.8	309.38	311.19							131	129	ka																										
Pocos de Caldas Alkaline Complex	Outcrop		2689	i	DE-DI : LT-AF-Z:LP-DC2	10.1016/0012-821X(73)90031-9	Intrusive	Phonolite			Pocos de Caldas Alkaline Complex			-21.9	-21.9	313.4	313.4	South America	Brazil		Brazil			77	82	Ma	0	190	40.6	10.8		39.2		6	35		ND	ND	ND	Ro	80.7	52.8	7.7	13.1			83	168.5		Superseded study. AF cleaning 15-100mT. Superseded by RESULTNO 8398. Superseded study.	ND	
Pocos de Caldas Alkaline Complex	Outcrop		2689	i	DE-DI : LT-AF-Z:LP-DC2	10.1016/0012-821X(73)90031-9	Intrusive	Phonolite			Pocos de Caldas Alkaline Complex			-21.9	-21.9	313.4	313.4	South America	Brazil		Brazil			77	82	Ma	0	17.2	-48.7	13.4		13.8		1			ND	ND	ND	Ro	80.7	52.8	7.7	13.1			83	168.5		Superseded study. AF cleaning 15-100mT. Superseded by RESULTNO 8398. Superseded study.	ND	
Pocos de Caldas Alkaline Complex	Outcrop		2689	i	DE-DI : LT-AF-Z:LP-DC2	10.1016/0012-821X(73)90031-9	Intrusive	Phonolite			Pocos de Caldas Alkaline Complex			-21.9	-21.9	313.4	313.4	South America	Brazil		Brazil			77	82	Ma	0	188.7	39	12.9		36.1	r	5			ND	ND	ND	Ro	80.7	52.8	7.7	13.1			83	168.5		Superseded study. AF cleaning 15-100mT. Superseded by RESULTNO 8398. Superseded study.	ND	
Uaua Dykes	Outcrop		8493	i	DE-VGP : LT-AF-Z : LT-T-Z:LP-DC4	10.1016/S0895-9811(97)00034-5	Metamorphic:Intrusive	metamorphics			Uaua Dykes			-10	-10	320.6	320.6	South America	Brazil		Brazil			1952	2014	Ma	0	17.1	69.8	4.1		40.6		31	88		ND	ND	ND	ND	23.8	331.4	6.5	6.5			0			AF to 80mT thermal to 570C characteristic component. Js-T (CT 557-581C).	M	
Bambui Group Comp.C	Outcrop		8552	i	DE-VGP : LT-T-Z:LP-DC4	10.1016/S0301-9268(99)00059-5	Sedimentary	Limestone		Sao Francisco	Bambui Group			-19.5	-19.5	315	315	South America	Brazil		Brazil			500	550	Ma	0	6.9	58.4	3.2		123.2		17	85		ND	ND	ND	ND	30.2	321	3.8	3.8		C	100			C Component. Thermal to 575C component >400C. Remagnetized during Brasiliano/Pan African orogeny.	ND	
Bambui Group Comp.A	Outcrop		8550	i	DE-VGP : LT-T-Z:LP-DC4	10.1016/S0301-9268(99)00059-5	Sedimentary	Limestone		Sao Francisco	Bambui Group			-19.5	-19.5	315	315	South America	Brazil		Brazil			200	250	Ma	0	358	-64.1	2.3		130.9		31	155		ND	ND	ND	ND	63.9	137.4	3.2	3.2		A	0			A Component. Thermal to 575C component 150-275C. Permo-Triassic age?.	ND	
Bambui Group Comp.B	Outcrop		8551	i	DE-VGP : LT-T-Z:LP-DC4	10.1016/S0301-9268(99)00059-5	Sedimentary	Limestone		Sao Francisco	Bambui Group			-19.5	-19.5	315	315	South America	Brazil		Brazil			500	550	Ma	0	25.6	68.3	1.6		247.5		33	165		ND	ND	ND	ND	14.7	330.7	2.5	2.5		B	100			B Component. Thermal to 575C component 250-400C. Remagnetized during Brasiliano/Pan African orogeny.	ND	
Brazil	Region					Goguitchaichvili et al. 2002								25.4	25.4	308.2	308.2	South America			Brazil																															
