tab delimited	contribution
data_model_version	description
3.0	Downloaded from MagIC at 2026-01-20T11:23:56.260Z.
>>>>>>>>>>
tab delimited	locations
location	sites	samples	specimens	location_type	location_alternatives	result_name	result_type	result_quality	method_codes	citations	expedition_name	expedition_ship	geologic_classes	lithologies	plate_blocks	terranes	geological_province_sections	tectonic_settings	formations	lat_s	lat_n	lon_w	lon_e	elevation_low	elevation_high	continent_ocean	country	state_province	ocean_sea	region	village_city	age	age_sigma	age_low	age_high	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_k	dir_k_ratio	dir_polarity	dir_n_sites	dir_n_samples	fold_test_significance	fold_test	conglomerate_test	contact_test	reversal_test	pole_lat	pole_lon	pole_dp	pole_dm	pole_comp_name	pole_reversed_perc	pole_antipodal_angle	paleolat	paleolon	paleopole_n_sites	pdm	pdm_sigma	pdm_n_sites	int_abs	int_abs_sigma	int_n_samples	description	rock_magnetic_test	software_packages	scientists	analysts
China				Region						ZHU ET AL. (1990)										40.2	40.4	113.4	113.4			Asia				China																																									
northeastern China				Region	Tianchi Lavas Jilin Province					10.1029/1999JB900448										42.05	42.05	128	128			Asia				China																																									
South China Cambrian Sediments				Outcrop		8798	i		DE-DI : LT-AF-Z : LT-T-Z:LP-DC3	ZHU ET AL. (1998)			Sedimentary	sediments		South China				32.2	32.2	106.3	106.3			Asia	China			South China				488	542	Ma	100	129.1	-23.6	7.8	44.6			9	74		Fo	ND	ND	ND	-39.5	185.1	4.4	8.3		0											Cambrian.	ND			
South China Lower Silurian Sediments				Outcrop		8796	i		DE-DI : LT-AF-Z : LT-T-Z:LP-DC3	ZHU ET AL. (1998)			Sedimentary	sediments		South China				31.3	31.3	110.6	110.6			Asia	China			South China				423	444	Ma	100	215.9	11.4	8.4	64.5			6	41		Fo	ND	ND	ND	-39.6	61.1	4.3	8.5		0											Lower Silurian.	ND			
South China Middle Jurassic Sediments				Outcrop		8791	i		DE-DI : LT-AF-Z : LT-T-Z:LP-DC3	ZHU ET AL. (1998)			Sedimentary	sediments		South China				31.3	31.3	110.6	110.6			Asia	China			South China				161	176	Ma	100	356.5	44.3	12.7	23.4			7	91		Fo	ND	ND	ND	84.1	322.1	10.1	15.9		0											Middle Jurassic.	ND			
South China Middle Triassic Sediments				Outcrop		8793	i		DE-DI : LT-AF-Z : LT-T-Z:LP-DC3	ZHU ET AL. (1998)			Sedimentary	sediments		South China				31.3	31.3	110.6	110.6			Asia	China			South China				228	245	Ma	100	203.8	-45.3	14.7	17.7			7	91		Fo	ND	ND	ND	68.8	206.2	11.8	18		100											Middle Triassic.	ND			
South China Late Jurassic Sediments				Outcrop		8790	i		DE-DI : LT-AF-Z : LT-T-Z:LP-DC3	ZHU ET AL. (1998)			Sedimentary	sediments		South China				31.3	31.3	110.6	110.6			Asia	China			South China				146	161	Ma	100	33.1	41.1	9.9	86.8			4	49		Fo	ND	ND	ND	59.8	206.7	7.3	12.1		0											Upper Jurassic.	ND			
South China Lower Triassic Sediments				Outcrop		8794	i		DE-DI : LT-AF-Z : LT-T-Z:LP-DC3	ZHU ET AL. (1998)			Sedimentary	sediments		South China				31.3	31.3	110.6	110.6			Asia	China			South China				245	251	Ma	100	227.6	-16.8	26.3	23.1			3	41		Fo	ND	ND	ND	39.3	216.3	14	27.2		100											Lower Triassic.	ND			
South China Upper Permian Sediments				Outcrop		8795	i		DE-DI : LT-AF-Z : LT-T-Z:LP-DC3	ZHU ET AL. (1998)			Sedimentary	sediments		South China				31.3	31.3	110.6	110.6			Asia	China			South China				251	271	Ma	100	194.7	-22.3	4.1	85.5			2	15		Fo	ND	ND	ND	67.1	253.1	2.4	4		100											Upper Permian.	ND			
South China Lower Jurassic Sediments				Outcrop		8792	i		DE-DI : LT-AF-Z : LT-T-Z:LP-DC3	ZHU ET AL. (1998)			Sedimentary	sediments		South China				31.3	31.3	110.6	110.6			Asia	China			South China				176	200	Ma	100	351.7	39.6	5.1	107.8			9	140		Fo	ND	ND	ND	78.6	332.8	3.7	6.1		0											Lower Jurassic.	ND			
