Island,ID,Geologic Area,Name,Rock type,AgeUpBound,AgeLowBound,AgeMeth,MagMin,Primary,FieldTest,MaxAgeMag,MinAgeMag,nSample,Nsites,Dec,Inc,a95,k,A95_VGP,K_VGP,BedStrike,BedDip,Lat,Long,Plat,Plong,Lambda,Ref,DOI,Comments,
KYUSHU,KY-4-2,Nansatsu District,Iwato Ore dep,Andesitic lava (Host),4.6,3.4,K-Ar,Magnetite,Y,Bedding-tilt test,,,22,3,355,47,18.3,47,4.736464258,39.71228364,,,31,130,84.83,368.47,28.19951313,"Takeda et al., 2001",10.1111/j.1751-3928.2001.tb00095.x,,
KYUSHU,KY-4-3,Nansatsu District,Akeshi ore dep,Silicified zone (Ore),4.5,3.6,K-Ar,Hematite,N,Bedding-tilt test,4.18,3.58,64,10,348,29,9.5,27,2.995761044,34.12414349,,,31,130,71,347.99,15.49095396,"Takeda et al., 2001",10.1111/j.1751-3928.2001.tb00095.x,,
KYUSHU,KY-4-4,Kyushi,Miyazaki,Sandst + Siltst,6,2.5,Biostrat,Goethite,Y,Correlation test,,,107,11,338.6,47.5,5.2,63.6,6.06,47.7,Individual,,31.8,131.5,71.27,397.29,28.61927748,"Kodama et al., 1995",10.1130/0091-7613(1995)023<0823:QCROSK>2.3.CO,2,Averaged in April 2020
KYUSHU,KY-5-1,Nansatsu District,Kasuga Ore dep,Andesitic lava (Host),6.3,3.4,K-Ar,Magnetite,Y,Bedding-tilt test,,,24,3,340,66,10.5,78,4.831911734,34.97895615,,,31,131.5,66.97,95.95,48.31629796,"Takeda et al., 2001",10.1111/j.1751-3928.2001.tb00095.x,,
KYUSHU,KY-7-1,Koshikijima Islands,NE-Trend Dyke,Dacite dyke,7.6,6.4,K-Ar,Ti-Mn / Magnetite,Y,"Reversal test, pass",,,64,11,16.1,57.7,7.1,41.9,9.7,23.2,Individual,,31.83,129.83,75.33,189.04,38.34124034,"Tonai et al., 2011",10.1016/j.tecto.2010.11.003,Averaged in April 2020,
KYUSHU,KY-8-1,Uchiumigawa,Janokawauchi,Sands. + Shale,10.5,6,Biostrat,Ti-Magnetite,Y,"Bedding-tilt test, Magstrat",,,104,17,322,48.6,6,36.6,6.7,29.53496481,Individual,,31.7,131.45,57.4,47.79,29.55924881,"Kodama & Nakayama, 1993",10.1029/92TC01712,Averaged in April 2020,
KYUSHU,KY-14-1,Tanegashima Island,Kukinaga grp,Mudst+Sandst,15.97,11.63,Biostrat,Magnetite,Y,"Fold test, inconc",,,103,14,331.2,41.3,10,22,9.3,19.3,,,31,131.167,63.15,386.76,23.71399816,"Kodama et al., 1991",10.5636/jgg.43.721,Averaged in April 2020,
KYUSHU,KY-15-1,Koshikijima Islands,NW-Trend Dyke,Andesite dyke,15.1,14.3,K-Ar,Ti-Mn / Magnetite,Y,"Reversal test, incoc",,,64,10,334.2,58.8,12.1,16.9,15.9,10.2,Individual,,31.83,129.83,67.77,67.33,39.54301669,"Tonai et al., 2011",10.1016/j.tecto.2010.11.003,Averaged in April 2020,
KYUSHU,KY-16-1,Tsushima Islands,,Gr+Dl+Qp+Fs+vo+Sh,20.3,12.3,FT, K-Ar,(Ti-) Magnetite,Y,Bedding-Tilt,,,125,15,337.6,47.1,11.7,33.9,12.2,31.2,Individual,,34.8,129.5,69.88,386.81,28.28309886,"Ishikawa et al., 1989",10.5636/jgg.41.797,Averaged in April 2020
KYUSHU,KY-22-1,Amakusa,Akasaki,Red Silt,37,37,Biostrat,Hematite,N,,23,20,28,5,30,50.7,17.9,19.2,8.4,84.5,,,32.52,130.42,64.61,214.76,31.41994966,"Ishikawa, 1997",10.1029/97jb01343,,
