tab delimited	contribution
data_model_version	description
3.0	Downloaded from MagIC at 2026-01-15T16:54:37.035Z.
>>>>>>>>>>
tab delimited	locations
location	location_type	result_name	result_type	method_codes	citations	geologic_classes	lithologies	terranes	geological_province_sections	lat_s	lat_n	lon_w	lon_e	continent_ocean	country	region	age	age_sigma	age_low	age_high	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_k	dir_polarity	dir_n_sites	dir_n_samples	fold_test	conglomerate_test	contact_test	reversal_test	pole_lat	pole_lon	pole_dp	pole_dm	pole_comp_name	pole_reversed_perc	pole_antipodal_angle	pdm	pdm_sigma	int_abs	int_abs_sigma	description	rock_magnetic_test	external_database_ids
Madagascar Stratoid Granites	Outcrop	8953	i	DE-DI : LT-AF-Z : LT-T-Z:LP-DC4	10.1016/S0301-9268(02)00161-4	Intrusive	Granite	Madagascar	Madagascar Stratoid Granites	-18.5	-18.5	47.3	47.3	Indian Ocean	Madagascar	Central Madagascar			509	533	Ma	0	271	51.1	10.1	14.4		16	94	ND	ND	ND	Ro	8.8	168	9.3	13.7	High-T	38	160.8					Neoproterozoic. Extent 200 km. E-W Antananarivo Zone de Virgation. High-T. AF and thermal characteristic component 540-570C >50 mT. Metamorphic reprint at 521. 4+/-11. 9 Ma (40Ar/39Ar).	ND	
Madagascar Stratoid Granites	Outcrop	8953	i	DE-DI : LT-AF-Z : LT-T-Z:LP-DC4	10.1016/S0301-9268(02)00161-4	Intrusive	Granite	Madagascar	Madagascar Stratoid Granites	-18.5	-18.5	47.3	47.3	Indian Ocean	Madagascar	Central Madagascar			509	533	Ma	0	83	-46	20.3	11.9		6		ND	ND	ND	Ro	8.8	168	9.3	13.7	High-T	38	160.8					Neoproterozoic. Extent 200 km. E-W Antananarivo Zone de Virgation. High-T. AF and thermal characteristic component 540-570C >50 mT. Metamorphic reprint at 521. 4+/-11. 9 Ma (40Ar/39Ar).	ND	
Madagascar Stratoid Granites	Outcrop	8953	i	DE-DI : LT-AF-Z : LT-T-Z:LP-DC4	10.1016/S0301-9268(02)00161-4	Intrusive	Granite	Madagascar	Madagascar Stratoid Granites	-18.5	-18.5	47.3	47.3	Indian Ocean	Madagascar	Central Madagascar			509	533	Ma	0	276.6	53.9	12.3	16.3	r	10		ND	ND	ND	Ro	8.8	168	9.3	13.7	High-T	38	160.8					Neoproterozoic. Extent 200 km. E-W Antananarivo Zone de Virgation. High-T. AF and thermal characteristic component 540-570C >50 mT. Metamorphic reprint at 521. 4+/-11. 9 Ma (40Ar/39Ar).	ND	
Madagascar Lavas and Dykes	Outcrop	3726	i	DE-VGP : LT-T-Z:LP-DC1	10.1038/1831049A0	Intrusive:Extrusive	Extrusives:Intrusives	Madagascar		-20	-20	48	48	Indian Ocean	Madagascar	Madagascar			89	94	Ma	0	15.5	-58.5				10		ND	ND	ND	ND	66.5	196.5	9	9		0						Turonian age. Extent 1000 km. Superseded study. Thermal demagnetization experiments show stability. Old Result. Superseded study.	ND	
Madagascar	Outcrop	mean	a	LP-DC4:LP-DIR:LT-AF-Z:LT-T-Z:GM-ARAR 	10.1016/S0899-5362(01)90111-3	Igneous:Extrusive	Rhyolite:Basalt	Madagascar		-23.32	-16.88	44.28	45.1	Indian Ocean	Madagascar	Madagascar	87.6	0.6			Ma	100	349	-58.52	3.7	34		46						-67.8	48.5						1.07E+23	9.00E+21	6.15E-05	5.50E-06	Upper Cretaceous		GPMDB[8858]:PINT[8518]
Isalo Group	Outcrop	2687	i	DE-VGP : LT-AF-Z : LT-T-Z:LP-DC3	10.1016/0012-821X(75)90045-X	Sedimentary	Redbeds	Madagascar	Isalo Group	-18	-18	45.5	45.5	Indian Ocean	Madagascar	Madagascar			176	228	Ma	100	346.5	-45.1	5.9	89.4		8	32	ND	ND	ND	ND	74	277.1	6.3	6.3		0						Dips 1-7 NW and 4 SW. AF to 50mT or thermal 100-600C maximum.	ND	
Lower Sakamena Group	Outcrop	2275	i	DE-VGP : LT-AF-Z : LT-T-Z:LP-DC2	10.1016/0012-821X(76)90101-1	Sedimentary	sediments	Madagascar	Lower Sakamena Group	-23.1	-23.1	45	45	Indian Ocean	Madagascar	Madagascar			251	260	Ma	100	152.9	48.5	5.6	270		4	19	ND	ND	ND	Rc	64.9	293.9	5.6	5.6		50	173.8					Superseded study. Thermal cleaning 200-450C. Data included in RESULTNO 2377. Superseded study.	ND	
Lower Sakamena Group	Outcrop	2275	i	DE-VGP : LT-AF-Z : LT-T-Z:LP-DC2	10.1016/0012-821X(76)90101-1	Sedimentary	sediments	Madagascar	Lower Sakamena Group	-23.1	-23.1	45	45	Indian Ocean	Madagascar	Madagascar			251	260	Ma	100	334.2	-51.5	18	193.9		2		ND	ND	ND	Rc	64.9	293.9	5.6	5.6		50	173.8					Superseded study. Thermal cleaning 200-450C. Data included in RESULTNO 2377. Superseded study.	ND	
Lower Sakamena Group	Outcrop	2275	i	DE-VGP : LT-AF-Z : LT-T-Z:LP-DC2	10.1016/0012-821X(76)90101-1	Sedimentary	sediments	Madagascar	Lower Sakamena Group	-23.1	-23.1	45	45	Indian Ocean	Madagascar	Madagascar			251	260	Ma	100	151.8	45.5	1	999.9	r	2		ND	ND	ND	Rc	64.9	293.9	5.6	5.6		50	173.8					Superseded study. Thermal cleaning 200-450C. Data included in RESULTNO 2377. Superseded study.	ND	
Sakoa Group glacial series	Outcrop	2276	i	DE-VGP : LT-AF-Z : LT-T-Z:LP-DC2	10.1016/0012-821X(76)90101-1	Sedimentary	glacial	Madagascar	Sakoa Group	-23.8	-23.8	44.7	44.7	Indian Ocean	Madagascar	Madagascar			271	318	Ma	100	137.8	67.5	5.3	53.9		3	16	ND	ND	ND	ND	47.9	264.1	8.1	8.1		100						Superseded study. Thermal cleaning 300-400C. Data included in RESULTNO 2378. Superseded study.	ND	
Lavas of Madagascar	Outcrop	3512	i	DE-DI : LT-AF-Z:LP-DC2	NAIRN (1964)	Extrusive	Extrusives	Madagascar		-23.5	-23.5	44.3	44.3	Indian Ocean	Madagascar	Madagascar			83	100	Ma	0	44	-61.1	7.6			2	12	ND	ND	ND	ND	49	172	8.9	11.7		0						Cenomanian to Santonian age. AF cleaning 25mT.	ND	
Ambatomiranty Dyke	Outcrop	8954	i	DE-DI : LT-AF-Z : LT-T-Z:LP-DC4	10.1016/S0301-9268(02)00161-4	Intrusive	Granite	Madagascar	Ambatomiranty Dyke	-18.5	-18.5	47.3	47.3	Indian Ocean	Madagascar	Central Madagascar			550	570	Ma	0	286	45	3.4	521		1	5	ND	ND	ND	ND	-5	167	2.7	4.3	High-T	100						Neoproterozoic. E-W Antananarivo Zone de Virgation. High-T. AF and thermal characteristic component 540-570C >50 mT.	ND	
Sakamena Group Overall Result	Outcrop	2377	a	DE-VGP : LT-AF-Z : LT-T-Z:LP-DC2	MCELHINNY ET AL. (1976)	Sedimentary	sediments	Madagascar	Sakamena Group	-23.5	-23.5	44.7	44.7	Indian Ocean	Madagascar	Madagascar			245	260	Ma	100	334	-49.9				7	31	ND	ND	ND	Rc	65.8	291.6	6.1	6.1		57	177.4					Combined Result. AF to 150mT thermal to 400C. Combined RESULTNO 2275 2374-2375. .	ND	
Sakamena Group Overall Result	Outcrop	2377	a	DE-VGP : LT-AF-Z : LT-T-Z:LP-DC2	MCELHINNY ET AL. (1976)	Sedimentary	sediments	Madagascar	Sakamena Group	-23.5	-23.5	44.7	44.7	Indian Ocean	Madagascar	Madagascar			245	260	Ma	100	336.1	-50.1	17.9	48.3		3		ND	ND	ND	Rc	65.8	291.6	6.1	6.1		57	177.4					Combined Result. AF to 150mT thermal to 400C. Combined RESULTNO 2275 2374-2375. .	ND	
