tab delimited	contribution
data_model_version	description
3.0	Downloaded from MagIC at 2026-01-19T16:35:47.415Z.
>>>>>>>>>>
tab delimited	sites
site	location	site_alternatives	result_type	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	age	age_sigma	age_low	age_high	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_r	dir_k	dir_n_samples	dir_polarity	vgp_lat	vgp_lon	vgp_dp	vgp_dm	description	external_database_ids
50	Madagascar		i	LP-DC4:LP-DIR:LT-AF-Z:LT-T-Z:DE-BFL:GM-ARAR	10.1016/S0899-5362(01)90111-3	Igneous:Extrusive	Lava Flow	Basalt	-23.05	44.27	87.6	0.6			Ma	100	11	-60	4		125			-69.9	9.5			50	
51	Madagascar		i	LP-DC4:LP-DIR:LT-AF-Z:LT-T-Z:DE-BFL:GM-ARAR	10.1016/S0899-5362(01)90111-3	Igneous:Extrusive	Lava Flow	Basalt	-23.12	44.28	87.6	0.6			Ma	100	355	-48	2		1000			-82.6	80.4			51	
52	Madagascar		i	LP-DC4:LP-DIR:LT-AF-Z:LT-T-Z:DE-BFL:GM-ARAR	10.1016/S0899-5362(01)90111-3	Igneous:Extrusive	Lava Flow	Basalt	-23.32	44.28	87.6	0.6			Ma	100	351	-58	4		1000			-72.9	68.8			52	
1	Madagascar		i	LP-DC4:LP-DIR:LT-AF-Z:LT-T-Z:DE-BFL:GM-ARAR	10.1016/S0899-5362(01)90111-3	Igneous:Extrusive	Lava Flow	Basalt	-16.88	45.1	87.6	0.6			Ma	100												1	
2	Madagascar		i	LP-DC4:LP-DIR:LT-AF-Z:LT-T-Z:DE-BFL:GM-ARAR	10.1016/S0899-5362(01)90111-3	Igneous:Extrusive	Lava Flow	Basalt	-16.88	45.1	87.6	0.6			Ma	100												2	
3	Madagascar		i	LP-DC4:LP-DIR:LT-AF-Z:LT-T-Z:DE-BFL:GM-ARAR	10.1016/S0899-5362(01)90111-3	Igneous:Extrusive	Lava Flow	Basalt	-16.88	45.1	87.6	0.6			Ma	100												3	
4	Madagascar		i	LP-DC4:LP-DIR:LT-AF-Z:LT-T-Z:DE-BFL:GM-ARAR	10.1016/S0899-5362(01)90111-3	Igneous:Extrusive	Lava Flow	Basalt	-16.9	45.1	87.6	0.6			Ma	100												4	
5	Madagascar		i	LP-DC4:LP-DIR:LT-AF-Z:LT-T-Z:DE-BFL:GM-ARAR	10.1016/S0899-5362(01)90111-3	Igneous:Extrusive	Lava Flow	Basalt	-16.87	45.12	87.6	0.6			Ma	100	354.4	-39.9	7		92			-82.2	86.1			5	
6	Madagascar		i	LP-DC4:LP-DIR:LT-AF-Z:LT-T-Z:DE-BFL:GM-ARAR	10.1016/S0899-5362(01)90111-3	Igneous:Extrusive	Lava Flow	Basalt	-16.87	45.12	87.6	0.6			Ma	100	352.9	-49.1	7		92			-75.4	70			6	
7	Madagascar		i	LP-DC4:LP-DIR:LT-AF-Z:LT-T-Z:DE-BFL:GM-ARAR	10.1016/S0899-5362(01)90111-3	Igneous:Extrusive	Lava Flow	Basalt	-16.85	44.95	87.6	0.6			Ma	100												7	
8	Madagascar		i	LP-DC4:LP-DIR:LT-AF-Z:LT-T-Z:DE-BFL:GM-ARAR	10.1016/S0899-5362(01)90111-3	Igneous:Extrusive	Lava Flow	Basalt	-16.23	46.57	87.6	0.6			Ma	100	6.7	-51.2	1.8		752			-73.3	26.5			8	
9	Madagascar		i	LP-DC4:LP-DIR:LT-AF-Z:LT-T-Z:DE-BFL:GM-ARAR	10.1016/S0899-5362(01)90111-3	Igneous:Extrusive	Lava Flow	Basalt	-16.22	46.63	87.6	0.6			Ma	100	8	-53	6		167			-71.2	25.5			9	
10	Madagascar		i	LP-DC4:LP-DIR:LT-AF-Z:LT-T-Z:DE-BFL:GM-ARAR	10.1016/S0899-5362(01)90111-3	Igneous:Extrusive	Lava Flow	Basalt	-16.23	46.5	87.6	0.6			Ma	100	6	-54	2		1435			-70.9	31.2			10	
11	Madagascar		i	LP-DC4:LP-DIR:LT-AF-Z:LT-T-Z:DE-BFL:GM-ARAR	10.1016/S0899-5362(01)90111-3	Igneous:Extrusive	Lava Flow	Basalt	-16.32	46.62	87.6	0.6			Ma	100	346	-50	4		334			-70.7	85.6			11	
12	Madagascar		i	LP-DC4:LP-DIR:LT-AF-Z:LT-T-Z:DE-BFL:GM-ARAR	10.1016/S0899-5362(01)90111-3	Igneous:Extrusive	Lava Flow	Basalt	-16.33	45.87	87.6	0.6			Ma	100	360	-62	5		711			-63.1	45.9			12	
13	Madagascar		i	LP-DC4:LP-DIR:LT-AF-Z:LT-T-Z:DE-BFL:GM-ARAR	10.1016/S0899-5362(01)90111-3	Igneous:Extrusive	Lava Flow	Basalt	-16.35	46.16	87.6	0.6			Ma	100	3	-54	6		385			-71.6	38.3			13	
14	Madagascar		i	LP-DC4:LP-DIR:LT-AF-Z:LT-T-Z:DE-BFL:GM-ARAR	10.1016/S0899-5362(01)90111-3	Igneous:Extrusive	Lava Flow	Basalt	-16.45	45.83	87.6	0.6			Ma	100	2	-68	6		364			-55.4	43.6			14	
15	Madagascar		i	LP-DC4:LP-DIR:LT-AF-Z:LT-T-Z:DE-BFL:GM-ARAR	10.1016/S0899-5362(01)90111-3	Igneous:Extrusive	Lava Flow	Basalt	-16.52	46.67	87.6	0.6			Ma	100	3	-56	4		113			-69.8	39.7			15	
16	Madagascar		i	LP-DC4:LP-DIR:LT-AF-Z:LT-T-Z:DE-BFL:GM-ARAR	10.1016/S0899-5362(01)90111-3	Igneous:Extrusive	Lava Flow	Basalt	-16.53	45.88	87.6	0.6			Ma	100	4	-74	2		2385			-46.3	43			16	
17	Madagascar		i	LP-DC4:LP-DIR:LT-AF-Z:LT-T-Z:DE-BFL:GM-ARAR	10.1016/S0899-5362(01)90111-3	Igneous:Extrusive	Lava Flow	Basalt	-16.58	45.83	87.6	0.6			Ma	100	329	-66	7		90			-49.4	77.6			17	
