ID,loc,name,Rock type,AgeUpBound,AgeLowBound,AgeMeth,MagMin,Primary,FieldTest,MaxAgeMag,MinAgeMag,N,Nsites,mdec,minc,a95,k,A95,K,BedStrike,BedDip,slat,slon,Plat,Plon,Lambda,Ref,DOI,Comments,age,Collection,Notes,Polarity,agehigh,agelow,period,N_alt,lambda
1,Karoo,"Ecca Group, KWV-01 Drill Core","sediments, sandstone, mudstones",281,263,,,Y,Y,,,235,14.0,153.3,77.0,3.39,8.31,6.00937392708055,2.3095626753173524,,,-32.2453,28.5856,-53.2,46.9,,"De Kock, M. O., & Abubakre, A. O.
(2022). Permian magnetostratigraphy
and end of the Kiaman Reverse
Polarity Superchron from the southeast
Karoo Basin, South Africa. Journal of
Geophysical Research: Solid Earth,
127,",https://doi.org/10.1029/2022JB024384,Inclination shallowing corrected by f=0.6,272.0,,"K not given; calculated using Deenen et al., 2011 formula. A95 not given; calculated using Deenen et al., 2011 formula.",Normal,281,263,Permian,,65.21551153210612
2,Karoo,Waterford Fm.,sedimentary deltaic deposits,274,250,,,Y,N,,,37,,124.7,65.3,12.9,4.18,17.261634167786145,1.7778312299028858,,,-32.631,20.145,-46.2,73.6,,"Geophys. J. Int. (2017) 211, 1354–1374, E. Belica et al.",doi: 10.1093/gji/ggx344,Inclination shallowing not apparent,262.0,,"K not given; calculated using Deenen et al., 2011 formula. A95 not given; calculated using Deenen et al., 2011 formula.",Normal,274,250,Permian,,47.3891335422095
3,Karoo,Kookfontein,sedimentary  submarine slope/shelf,274,250,,,Y,N,,,136,,114.4,61.8,4.54,8.08,6.006041609255927,3.99521807420113,,,-32.78,19.993,-38.6,78.4,,"Geophys. J. Int. (2017) 211, 1354–1374, E. Belica et al.",doi: 10.1093/gji/ggx345,,262.0,,"K not given; calculated using Deenen et al., 2011 formula. A95 not given; calculated using Deenen et al., 2011 formula.",Normal,274,250,Permian,,42.999416891189696
4,Karoo,BP LEF,"sediments, sandstone, mudstones",213,195,,,Y,Y,,,16,,312.6,66.7,8.4,20.255711788112517,12.29909143932576,8.098228524829686,,,-31.4,27.3,-50.5,76.4,,"Magnetostratigraphy across the Triassic-Jurassic boundary in the main Karoo Basin, 2017, Sciscio et al",http://dx.doi.org/10.1016/j.gr.2017.07.009,"Inclination shallowing not accounted for? LEF stands for lower elliots formation, other abreviations are the site names",204.0,,"K not given; calculated using Deenen et al., 2011 formula. A95 not given; calculated using Deenen et al., 2011 formula.",Normal,213,195,Triassic,,49.260492668116356
5,Karoo,QUT LEF,"sediments, sandstone, mudstones",213,195,,,Y,Y,,,36,,338.9,59.1,6.5,14.487767834349711,8.250612079337442,7.997996946996879,,,-30.4,27.6,-70.4,83.0,,"Magnetostratigraphy across the Triassic-Jurassic boundary in the main Karoo Basin, 2017, Sciscio et al",http://dx.doi.org/10.1016/j.gr.2017.07.010,"Inclination shallowing not accounted for? LEF stands for lower elliots formation, other abreviations are the site names",204.0,,"K not given; calculated using Deenen et al., 2011 formula. A95 not given; calculated using Deenen et al., 2011 formula.",Normal,213,195,Triassic,,39.876702331428326
6,Karoo,DAM LEF,"sediments, sandstone, mudstones",213,195,,,Y,Y,,,38,,303.8,66.3,13.6,3.902263553247694,18.022191131353612,1.5880248432814594,,,-29.2,27.3,-43.4,76.3,,"Magnetostratigraphy across the Triassic-Jurassic boundary in the main Karoo Basin, 2017, Sciscio et al",http://dx.doi.org/10.1016/j.gr.2017.07.011,"Inclination shallowing not accounted for? LEF stands for lower elliots formation, other abreviations are the site names",204.0,,"K not given; calculated using Deenen et al., 2011 formula. A95 not given; calculated using Deenen et al., 2011 formula.",Normal,213,195,Triassic,,48.718853306902
7,Karoo,GGP LEF,"sediments, sandstone, mudstones",213,195,,,Y,Y,,,20,,322.2,55.8,9.2,13.562271549218288,10.740694967492233,8.494959444126248,,,-28.5,28.7,-57.4,95.0,,"Magnetostratigraphy across the Triassic-Jurassic boundary in the main Karoo Basin, 2017, Sciscio et al",http://dx.doi.org/10.1016/j.gr.2017.07.012,"Inclination shallowing not accounted for? LEF stands for lower elliots formation, other abreviations are the site names",204.0,,"K not given; calculated using Deenen et al., 2011 formula. A95 not given; calculated using Deenen et al., 2011 formula.",Normal,213,195,Triassic,,36.34294562116648
8,Karoo,Lower Beaufort Group,"sediments, sandstone, mudstones",266,254,,,Y,,,,234,,308.7,53.3,2.9,10.8,3.365026816241738,7.397128359733891,,,-32.7,20.6,48.9,258.8,,"Tohver, E., L. Lanci, A. Wilson, J. Hansma, and S. Flint (2015), Magnetostratigraphic constraints on the age of the lower Beaufort Group, western Karoo basin, South Africa, and a critical analysis of existing U-Pb geochronological data, Geochem. Geophys. Geosyst., 16 3649–3665,
",doi:10.1002/2015GC005930,"Not sure about this paper, seems ok but has some discrepancies in age verification. Also includes data from Lanci et al, 2013",260.0,,"K not given; calculated using Deenen et al., 2011 formula. A95 not given; calculated using Deenen et al., 2011 formula.",Normal,266,254,Permian,,33.85376673735495
9,Karoo,Komandodrifdam,Mixture of sediments,260,250,,,Y,,,,21,,311.9,61.6,7.6,17.8,10.25482813716843,8.875237917326302,,,-32.1,26.0,50.9,273.7,,"M.O. De Kockl and J.L. Kirschvink*
",https://doi.org/10.1016/S1342-937X(05)70316-6,,255.0,,"K not given; calculated using Deenen et al., 2011 formula. A95 not given; calculated using Deenen et al., 2011 formula.",Normal,260,250,Permian,,42.760507764008814
10,Ruhuhu,Ruhuhu basin,Grey Siltstone,310,290,,,Y,,,,6,,133.5,69.6,6.6,103.8,9.457650821084359,36.52063074144935,,,-10.3,34.6,65.8,-33.2,,"Opdyke, N.D., Mushayandebvu, M., De Wit, M.J., A new palaeomagnetic pole for the Dwyka System and correlative sediments in sub-Saharan Africa, 2001",https://doi.org/10.1016/S0899-5362(01)90095-8,Hard to take results from this paper,300.0,,"K not given; calculated using Deenen et al., 2011 formula. A95 not given; calculated using Deenen et al., 2011 formula.",Normal,310,290,Carboniferous,,53.35837535928039
