plate_id,age,lat,lon,angle,rel_plate
501,0.0,0.0,0.0,0.0,709
501,0.78,19.04,27.94,-0.35,709
501,1.77,21.78,30.86,-0.75,709
501,2.58,22.9,30.6,-1.07,709
501,3.58,19.58,33.72,-1.59,709
501,4.18,21.75,28.44,-1.75,709
501,5.23,22.1,31.62,-2.18,709
501,5.89,21.96,29.3,-2.41,709
501,6.57,21.28,30.9,-2.75,709
501,7.43,22.55,30.55,-2.98,709
501,8.07,21.97,30.83,-3.29,709
501,8.7,22.41,30.75,-3.49,709
501,9.02,22.59,30.77,-3.68,709
501,9.74,23.57,30.46,-3.89,709
501,10.95,23.65,29.15,-4.3,709
501,12.4,23.72,29.22,-4.88,709
501,14.61,24.59,29.15,-5.76,709
501,16.01,24.8,29.29,-6.4,709
501,17.28,24.85,30.28,-7.15,709
501,18.28,24.76,30.27,-7.64,709
501,20.13,25.98,30.69,-8.43,709
501,33.55,-20.48,-137.33,16.35,709
501,40.13,-20.41,-135.53,19.61,709
501,42.54,-20.82,-135.97,20.54,709
501,43.79,-21.3,-136.45,20.94,709
501,46.26,-20.42,-136.96,22.13,709
501,47.91,-20.27,-137.7,23.2,709
501,49.71,-20.37,-140.32,24.41,709
501,51.74,-18.51,-141.93,27.11,709
501,53.35,-18.32,-144.47,29.04,709
501,55.9,-18.25,-147.66,31.81,709
501,57.55,-17.33,-148.28,34.14,709
501,60.92,-15.5,-148.94,38.42,709
501,62.5,-14.93,-149.24,40.49,709
501,64.75,-15.8,-152.6,42.68,709
501,67.67,18.45,23.47,-44.14,709
501,73.62,19.48,21.95,-48.11,709
501,79.07,20.32,21.39,-51.3,709
501,83.5,23.36,19.57,-51.54,709
501,83.5,23.53,19.73,-51.45,702
501,88.0,19.8,27.2,-59.16,702
501,120.4,24.02,32.04,-53.01,702
501,124.0,23.14,33.1,-54.51,702
501,124.0,1.34,-165.88,79.66,514
501,132.1,1.34,-165.88,79.66,514
501,132.1,18.45,31.0,-61.52,702
501,600.0,18.45,31.0,-61.52,702
501,600.0,31.32,143.45,64.8,1
501,750.0,60.39,2.5,45.44,1
501,775.0,68.76,12.5,63.55,1
501,823.0,0.0,-8.47,63.98,1
501,1073.5,19.13,-67.5,-56.57,1
501,1110.0,19.13,-67.5,-56.57,1
