age,max_age,min_age,N,R,delta_R,R_sig,L,delta_L,L_sig,B95,A95,plat,plon,slat,slon,ref_dec,dec,ref_inc,ref_mean_N,ref_mean_K
272.0,281,263,19,,[14.461928020209662],False,,6.00937392708055,False,,6.00937392708055,,,-32.2453,28.5856,,153.3,,524.58,
262.0,274,250,19,,[25.99542408527007],False,,17.261634167786145,False,,17.261634167786145,,,-32.631,20.145,,124.7,,1414.54,
262.0,274,250,19,,[8.22534026353685],False,,6.006041609255927,False,,6.006041609255927,,,-32.78,19.993,,114.4,,1413.08,
204.0,213,195,19,,[19.050359060337165],False,,12.29909143932576,False,,12.29909143932576,,,-31.4,27.3,,312.6,,1597.62,
204.0,213,195,19,,[10.777344797013008],False,,8.250612079337442,False,,8.250612079337442,,,-30.4,27.6,,338.9,,1596.62,
204.0,213,195,19,,[27.96551970658065],False,,18.02219113135361,False,,18.02219113135361,,,-29.2,27.3,,303.8,,1596.2,
204.0,213,195,19,,[13.377711632366154],False,,10.740694967492232,False,,10.740694967492232,,,-28.5,28.7,,322.2,,1598.7,
260.0,266,254,19,,[4.053043744621901],False,,3.365026816241738,False,,3.365026816241738,,,-32.7,20.6,,308.7,,704.78,
255.0,260,250,19,,[14.032808210971698],False,,10.25482813716843,False,,10.25482813716843,,,-32.1,26.0,,311.9,,867.28,
300.0,310,290,19,,[15.981624145575678],False,,9.45765082108436,False,,9.45765082108436,,,-10.3,34.6,,133.5,,405.0,
300.0,310,290,19,,[5.58772022286193],False,,2.400380429095541,False,,2.400380429095541,,,-18.0,29.5,,66.2,,406.08,
305.0,310,300,19,,[14.306568166783078],False,,7.540864932013696,False,,7.540864932013696,,,-32.1,19.6,,70.1,,158.54,
305.0,310,300,19,,[18.542794867681128],False,,10.940681826075323,False,,10.940681826075323,,,-29.2,30.6,,133.5,,157.06,
265.0,260,270,19,,[13.601674750458194],False,,9.86461574613548,False,,9.86461574613548,,,-32.40733,20.32633,,308.0,,333.46,
278.5,281,276,19,,[19.20392471804756],False,,8.39,False,,8.39,,,-32.8,19.7,,149.7,,202.9,
252.5,260,245,19,,[11.878006493903712],False,,8.62375089642877,False,,8.62375089642877,,,-30.9,29.4,,334.0,,975.42,
257.5,260,255,19,,[7.300070421828009],False,,5.311296083450137,False,,5.311296083450137,,,-7.33,37.18,,140.0,,673.24,
257.5,260,255,19,,[7.713503842741229],False,,5.497305118401948,False,,5.497305118401948,,,-9.48,33.67,,97.0,,670.62,
249.5,254,245,19,,[8.937939049922628],False,,7.2638052885882916,False,,7.2638052885882916,,,-9.2,34.07,,350.0,,566.8,
